county	state	county_comfired	county_new	Death	County_deaths_new	Fatality_ratio
East Baton Rouge	Louisiana	1,636	0	100	0	6.1%
Caddo	Louisiana	1,389	0	85	0	6.1%
St. Tammany	Louisiana	1,111	0	89	0	8%
St. John the Baptist	Louisiana	721	0	59	0	8.2%
Lafourche	Louisiana	603	0	32	0	5.3%
Ouachita	Louisiana	579	0	16	0	2.8%
Ascension	Louisiana	536	0	33	0	6.2%
St. Charles	Louisiana	529	0	33	0	6.2%
Tangipahoa	Louisiana	501	0	18	0	3.6%
Lafayette	Louisiana	439	0	17	0	3.9%
St. Bernard	Louisiana	435	0	15	0	3.4%
Terrebonne	Louisiana	357	0	25	0	7%
Calcasieu	Louisiana	352	0	24	0	6.8%
Iberville	Louisiana	299	0	23	0	7.7%
Bossier	Louisiana	255	0	12	0	4.7%
St. James	Louisiana	235	0	17	0	7.2%
Iberia	Louisiana	228	0	12	0	5.3%
Washington	Louisiana	225	0	13	0	5.8%
Rapides	Louisiana	220	0	8	0	3.6%
St. Martin	Louisiana	210	0	13	0	6.2%
De Soto	Louisiana	176	0	10	0	5.7%
St. Mary	Louisiana	168	0	18	0	10.7%
Livingston	Louisiana	165	0	11	0	6.7%
Plaquemines	Louisiana	165	0	16	0	9.7%
Assumption	Louisiana	158	0	2	0	1.3%
St. Landry	Louisiana	154	0	31	0	20.1%
Acadia	Louisiana	117	0	7	0	6%
Franklin	Louisiana	108	0	2	0	1.9%
East Feliciana	Louisiana	106	0	10	0	9.4%
West Baton Rouge	Louisiana	90	0	12	0	13.3%
Union	Louisiana	89	0	6	0	6.7%
Pointe Coupee	Louisiana	86	0	11	0	12.8%
West Feliciana	Louisiana	84	0	2	0	2.4%
Allen	Louisiana	81	0	9	0	11.1%
Webster	Louisiana	81	0	4	0	4.9%
Avoyelles	Louisiana	71	0	7	0	9.9%
Bienville	Louisiana	69	0	12	0	17.4%
Lincoln	Louisiana	62	0	3	0	4.8%
Natchitoches	Louisiana	62	0	1	0	1.6%
Unassigned	Louisiana	62	0	59	0	95.2%
Jefferson Davis	Louisiana	57	0	5	0	8.8%
Claiborne	Louisiana	50	0	5	0	10%
Morehouse	Louisiana	45	0	4	0	8.9%
Richland	Louisiana	45	0	0	0	0%
Evangeline	Louisiana	44	0	0	0	0%
Beauregard	Louisiana	35	0	2	0	5.7%
Vermilion	Louisiana	33	0	1	0	3%
Concordia	Louisiana	27	0	2	0	7.4%
Catahoula	Louisiana	24	0	2	0	8.3%
St. Helena	Louisiana	23	0	1	0	4.3%
Red River	Louisiana	22	0	4	0	18.2%
Jackson	Louisiana	21	0	0	0	0%
Winn	Louisiana	19	0	2	0	10.5%
Caldwell	Louisiana	17	0	0	0	0%
La Salle	Louisiana	15	0	0	0	0%
Vernon	Louisiana	14	0	1	0	7.1%
Sabine	Louisiana	13	0	0	0	0%
Grant	Louisiana	11	0	0	0	0%
East Carroll	Louisiana	5	0	0	0	0%
Madison	Louisiana	5	0	0	0	0%
West Carroll	Louisiana	4	0	0	0	0%
Cameron	Louisiana	3	0	0	0	0%
Tensas	Louisiana	1	0	0	0	0%
Fairfield	Connecticut	10,008	0	615	0	6.1%
New Haven	Connecticut	6,064	0	372	0	6.1%
Hartford	Connecticut	4,303	0	469	0	10.9%
Litchfield	Connecticut	751	0	66	0	8.8%
Middlesex	Connecticut	545	0	57	0	10.5%
Unassigned	Connecticut	522	0	6	0	1.1%
New London	Connecticut	419	0	17	0	4.1%
Tolland	Connecticut	359	0	33	0	9.2%
Windham	Connecticut	129	0	4	0	3.1%
Harris--Houston	Texas	3,046	0	34	0	1.1%
Dallas	Texas	2,763	0	72	0	2.6%
Harris--Non Houston	Texas	2,284	0	48	0	2.1%
Tarrant	Texas	1,559	0	45	0	2.9%
Travis	Texas	1,312	0	31	0	2.4%
Bexar	Texas	1,167	0	43	0	3.7%
Fort Bend	Texas	889	0	20	0	2.2%
El Paso	Texas	674	0	10	0	1.5%
Denton	Texas	661	0	19	0	2.9%
Collin	Texas	609	0	14	0	2.3%
Galveston	Texas	507	0	21	0	4.1%
Lubbock	Texas	481	0	40	0	8.3%
Montgomery	Texas	467	0	8	0	1.7%
Brazoria	Texas	392	0	3	0	0.8%
Cameron	Texas	333	0	12	0	3.6%
Webb	Texas	321	0	12	0	3.7%
Hidalgo	Texas	281	0	4	0	1.4%
Jefferson	Texas	240	0	16	0	6.7%
Potter	Texas	204	0	5	0	2.5%
Taylor	Texas	191	0	3	0	1.6%
Brazos	Texas	177	0	16	0	9%
Moore	Texas	172	0	2	0	1.2%
Williamson	Texas	167	0	5	0	3%
Bell	Texas	153	0	3	0	2%
Hays	Texas	147	0	1	0	0.7%
Walker	Texas	136	0	1	0	0.7%
Smith	Texas	131	0	3	0	2.3%
Randall	Texas	125	0	3	0	2.4%
Ellis	Texas	111	0	4	0	3.6%
Nacogdoches	Texas	111	0	7	0	6.3%
Victoria	Texas	105	0	2	0	1.9%
Hardin	Texas	92	0	3	0	3.3%
Nueces	Texas	91	0	1	0	1.1%
Coryell	Texas	86	0	1	0	1.2%
Shelby	Texas	85	0	0	0	0%
McLennan	Texas	81	0	4	0	4.9%
Washington	Texas	78	0	11	0	14.1%
Panola	Texas	75	0	5	0	6.7%
Midland	Texas	67	0	4	0	6%
Bowie	Texas	66	0	1	0	1.5%
Guadalupe	Texas	64	0	0	0	0%
Harrison	Texas	63	0	4	0	6.3%
Orange	Texas	63	0	0	0	0%
Ector	Texas	62	0	4	0	6.5%
Wichita	Texas	62	0	2	0	3.2%
Gregg	Texas	59	0	0	0	0%
Kaufman	Texas	58	0	0	0	0%
Matagorda	Texas	57	0	3	0	5.3%
Bastrop	Texas	53	0	2	0	3.8%
Johnson	Texas	50	0	1	0	2%
Rockwall	Texas	48	0	0	0	0%
Comal	Texas	47	0	6	0	12.8%
Chambers	Texas	41	0	0	0	0%
Tom Green	Texas	41	0	1	0	2.4%
Hunt	Texas	38	0	2	0	5.3%
Liberty	Texas	37	0	0	0	0%
Wharton	Texas	36	0	0	0	0%
Angelina	Texas	33	0	0	0	0%
Rusk	Texas	30	0	1	0	3.3%
Waller	Texas	27	0	0	0	0%
Gray	Texas	27	0	0	0	0%
Navarro	Texas	25	0	2	0	8%
Wilson	Texas	25	0	2	0	8%
Donley	Texas	24	0	0	0	0%
Calhoun	Texas	23	0	2	0	8.7%
Henderson	Texas	22	0	0	0	0%
Parker	Texas	22	0	0	0	0%
Andrews	Texas	19	0	0	0	0%
Grayson	Texas	19	0	0	0	0%
Dawson	Texas	18	0	1	0	5.6%
Hockley	Texas	18	0	1	0	5.6%
Polk	Texas	18	0	0	0	0%
Brown	Texas	17	0	1	0	5.9%
Deaf Smith	Texas	17	0	0	0	0%
