County	State	Comfired	New	Death	County_deaths_new	Fatality_ratio
Livingston	Michigan	31	10	1	0	3.2%
Monroe	Michigan	28	7	0	0	0%
Ingham	Michigan	26	4	1	1	3.8%
Other	Michigan	22	9	0	0	0%
Ottawa	Michigan	21	3	0	0	0%
Berrien	Michigan	18	7	0	0	0%
Jackson	Michigan	16	0	0	0	0%
St. Clair	Michigan	15	2	0	0	0%
Saginaw	Michigan	14	4	0	0	0%
Kalamazoo	Michigan	11	1	0	0	0%
Calhoun	Michigan	9	2	0	0	0%
Clinton	Michigan	8	1	0	0	0%
Eaton	Michigan	8	4	0	0	0%
Midland	Michigan	8	2	0	0	0%
Out of State	Michigan	8	1	0	0	0%
Lenawee	Michigan	8	3	0	0	0%
Otsego	Michigan	7	0	0	0	0%
Muskegon	Michigan	6	3	2	2	33.3%
Hillsdale	Michigan	6	1	0	0	0%
Bay	Michigan	4	0	0	0	0%
Charlevoix	Michigan	4	0	0	0	0%
Kalkaska	Michigan	4	2	0	0	0%
Lapeer	Michigan	4	1	0	0	0%
Isabella	Michigan	4	1	0	0	0%
Montcalm	Michigan	3	0	0	0	0%
Emmet	Michigan	3	1	0	0	0%
Grand Traverse	Michigan	3	0	0	0	0%
Van Buren	Michigan	3	1	0	0	0%
Tuscola	Michigan	2	0	1	0	50%
Gladwin	Michigan	2	0	0	0	0%
Sanilac	Michigan	2	1	0	0	0%
Ionia	Michigan	2	0	0	0	0%
Shiawassee	Michigan	2	1	0	0	0%
Leelanau	Michigan	1	0	0	0	0%
Barry	Michigan	1	0	0	0	0%
Wexford	Michigan	1	0	0	0	0%
Clare	Michigan	1	0	0	0	0%
Allegan	Michigan	1	0	0	0	0%
Roscommon	Michigan	1	0	0	0	0%
Chippewa	Michigan	1	0	0	0	0%
Newaygo	Michigan	1	0	0	0	0%
Manistee	Michigan	1	0	0	0	0%
Marquette	Michigan	1	0	0	0	0%
Iosco	Michigan	1	0	0	0	0%
Oceana	Michigan	1	0	0	0	0%
Cass	Michigan	1	0	0	0	0%
Mecosta	Michigan	1	0	1	0	100%
Missaukee	Michigan	1	0	0	0	0%
Ogemaw	Michigan	1	0	0	0	0%
Huron	Michigan	1	1	0	0	0%
Crawford	Michigan	1	1	0	0	0%
Dickson	Michigan	1	1	0	0	0%
Gogebic	Michigan	1	1	1	1	100%
Gratiot	Michigan	1	1	0	0	0%
Middlesex	Massachusetts	685	147	5	1	0.7%
Suffolk	Massachusetts	631	183	2	0	0.3%
Norfolk	Massachusetts	393	101	6	4	1.5%
Essex	Massachusetts	350	103	2	0	0.6%
Unassigned	Massachusetts	303	36	9	0	3%
Worcester	Massachusetts	219	53	3	0	1.4%
Plymouth	Massachusetts	187	49	0	0	0%
Bristol	Massachusetts	129	39	1	1	0.8%
Berkshire	Massachusetts	105	32	2	2	1.9%
Barnstable	Massachusetts	100	33	2	1	2%
Hampden	Massachusetts	90	35	1	0	1.1%
Franklin	Massachusetts	24	8	2	1	8.3%
Hampshire	Massachusetts	20	3	0	0	0%
Dukes and Nantucket	Massachusetts	4	1	0	0	0%
Miami-Dade	Florida	869	215	1	1	0.1%
Broward	Florida	631	126	5	2	0.8%
Palm Beach	Florida	241	67	3	0	1.2%
Hillsborough	Florida	174	23	1	0	0.6%
Orange	Florida	174	55	4	0	2.3%
Duval	Florida	99	17	3	0	3%
Lee	Florida	95	29	4	1	4.2%
Collier	Florida	85	18	0	0	0%
Pinellas	Florida	82	17	1	0	1.2%
Alachua	Florida	60	7	0	0	0%
Osceola	Florida	56	11	0	0	0%
Seminole	Florida	54	14	0	0	0%
Volusia	Florida	43	9	0	0	0%
Sarasota	Florida	43	9	2	1	4.7%
St. Johns	Florida	42	6	1	0	2.4%
Lake	Florida	32	6	0	0	0%
Manatee	Florida	29	4	1	0	3.4%
Sumter	Florida	29	5	0	0	0%
Escambia	Florida	28	8	0	0	0%
Polk	Florida	28	8	0	0	0%
Okaloosa	Florida	25	3	0	0	0%
Pasco	Florida	25	4	1	0	4%
Clay	Florida	22	2	4	0	18.2%
Brevard	Florida	20	6	0	0	0%
Monroe	Florida	19	5	0	0	0%
Martin	Florida	17	6	0	0	0%
St. Lucie	Florida	17	6	1	1	5.9%
Leon	Florida	15	2	0	0	0%
Indian River	Florida	15	1	0	0	0%
Walton	Florida	14	1	0	0	0%
Santa Rosa	Florida	13	2	1	0	7.7%
Hernando	Florida	12	3	0	0	0%
Putnam	Florida	12	0	0	0	0%
Flagler	Florida	12	4	0	0	0%
Citrus	Florida	11	0	1	0	9.1%
Marion	Florida	9	4	0	0	0%
Charlotte	Florida	8	4	0	0	0%
Baker	Florida	7	2	0	0	0%
Nassau	Florida	6	1	0	0	0%
Highlands	Florida	6	1	1	1	16.7%
Desoto	Florida	6	1	0	0	0%
Bay	Florida	4	1	0	0	0%
Columbia	Florida	3	0	0	0	0%
Gadsden	Florida	1	0	0	0	0%
Jackson	Florida	1	0	0	0	0%
Bradford	Florida	1	0	0	0	0%
Washington	Florida	1	0	0	0	0%
Suwannee	Florida	1	1	0	0	0%
Levy	Florida	1	1	0	0	0%
Unassigned	Florida	0	0	11	11	
Cook	Illinois	2,239	335	20	2	0.9%
Lake	Illinois	230	45	0	0	0%
DuPage	Illinois	199	17	6	5	3%
Will	Illinois	104	37	3	0	2.9%
Kane	Illinois	75	18	2	1	2.7%
McHenry	Illinois	45	18	1	0	2.2%
Kankakee	Illinois	17	2	0	0	0%
St. Clair	Illinois	15	2	0	0	0%
Champaign	Illinois	10	0	0	0	0%
McLean	Illinois	10	2	1	0	10%
Winnebago	Illinois	8	0	0	0	0%
Madison	Illinois	8	2	0	0	0%
Kendall	Illinois	8	1	0	0	0%
Sangamon	Illinois	7	0	1	0	14.3%
Peoria	Illinois	6	0	0	0	0%
Clinton	Illinois	5	0	0	0	0%
DeKalb	Illinois	4	1	0	0	0%
Rock Island	Illinois	4	0	0	0	0%
Woodford	Illinois	3	0	0	0	0%
La Salle	Illinois	3	0	0	0	0%
Monroe	Illinois	3	0	0	0	0%
Whiteside	Illinois	2	1	0	0	0%
Stephenson	Illinois	2	0	0	0	0%
Livingston	Illinois	2	1	0	0	0%
Grundy	Illinois	2	0	0	0	0%
Tazewell	Illinois	2	0	0	0	0%
Cumberland	Illinois	1	0	0	0	0%
Jackson	Illinois	1	0	0	0	0%
Washington	Illinois	1	0	0	0	0%
Adams	Illinois	1	0	0	0	0%
Williamson	Illinois	1	0	0	0	0%
Christian	Illinois	1	0	0	0	0%
Jo Daviess	Illinois	1	0	0	0	0%
Douglas	Illinois	1	0	0	0	0%
Marshall	Illinois	1	0	0	0	0%
Franklin	Illinois	1	0	0	0	0%
Morgan	Illinois	1	0	0	0	0%
Bureau	Illinois	1	1	0	0	0%
Iroquois	Illinois	1	1	0	0	0%
Henry	Illinois	1	1	0	0	0%
Orleans	Louisiana	1,170	173	57	11	4.9%
Jefferson	Louisiana	548	90	24	12	4.4%
Caddo	Louisiana	140	25	2	1	1.4%
East Baton Rouge	Louisiana	124	19	4	0	3.2%
St. Tammany	Louisiana	111	22	2	1	1.8%
Ascension	Louisiana	90	0	1	0	1.1%
Lafayette	Louisiana	44	14	0	0	0%
St. John the Baptist	Louisiana	41	3	3	1	7.3%
St. James	Louisiana	40	11	3	2	7.5%
Bossier	Louisiana	37	5	0	0	0%
St. Bernard	Louisiana	31	3	1	0	3.2%
Lafourche	Louisiana	30	2	2	1	6.7%
Rapides	Louisiana	26	1	1	0	3.8%
Ouachita	Louisiana	25	6	1	0	4%
St. Charles	Louisiana	23	1	2	0	8.7%
Terrebonne	Louisiana	23	2	1	1	4.3%
Calcasieu	Louisiana	22	7	1	0	4.5%
Iberville	Louisiana	20	3	1	0	5%
Unassigned	Louisiana	16	3	1	0	6.3%
Plaquemines	Louisiana	16	3	2	2	12.5%
De Soto	Louisiana	13	2	1	0	7.7%
West Baton Rouge	Louisiana	11	3	1	0	9.1%
Livingston	Louisiana	11	0	0	0	0%
St. Landry	Louisiana	10	5	0	0	0%
Avoyelles	Louisiana	10	3	0	0	0%
St. Martin	Louisiana	10	8	3	3	30%
Webster	Louisiana	9	1	1	0	11.1%
Washington	Louisiana	8	2	1	0	12.5%
Acadia	Louisiana	8	5	1	1	12.5%
Assumption	Louisiana	8	3	0	0	0%
Tangipahoa	Louisiana	7	0	0	0	0%
Lincoln	Louisiana	7	4	0	0	0%
St. Mary	Louisiana	6	1	0	0	0%
Allen	Louisiana	5	0	0	0	0%
East Feliciana	Louisiana	5	1	0	0	0%
Iberia	Louisiana	4	1	0	0	0%
Evangeline	Louisiana	4	2	0	0	0%
Beauregard	Louisiana	4	1	0	0	0%
Union	Louisiana	4	2	0	0	0%
Claiborne	Louisiana	3	1	0	0	0%
Jackson	Louisiana	3	2	0	0	0%
Natchitoches	Louisiana	2	0	0	0	0%
Richland	Louisiana	2	1	0	0	0%
Vernon	Louisiana	2	0	0	0	0%
Morehouse	Louisiana	2	0	0	0	0%
Vermilion	Louisiana	2	1	0	0	0%
Catahoula	Louisiana	1	0	1	0	100%
Bienville	Louisiana	1	0	1	0	100%
Grant	Louisiana	1	0	0	0	0%
Jefferson Davis	Louisiana	1	0	0	0	0%
Winn	Louisiana	1	0	0	0	0%
La Salle	Louisiana	1	0	0	0	0%
Pointe Coupee	Louisiana	1	0	0	0	0%
Madison	Louisiana	1	0	0	0	0%
West Celiciana	Louisiana	1	1	0	0	0%
Philadelphia	Pennsylvania	637	162	2	1	0.3%
Montgomery	Pennsylvania	374	61	4	1	1.1%
Delaware	Pennsylvania	185	29	3	1	1.6%
Allegheny	Pennsylvania	158	25	2	0	1.3%
Bucks	Pennsylvania	144	20	0	0	0%
Chester	Pennsylvania	107	23	0	0	0%
Monroe	Pennsylvania	98	31	2	0	2%
Lehigh	Pennsylvania	93	30	2	1	2.2%
Northampton	Pennsylvania	79	23	3	0	3.8%
Berks	Pennsylvania	65	29	0	0	0%
Luzerne	Pennsylvania	55	19	2	1	3.6%
Lackawanna	Pennsylvania	35	7	2	0	5.7%
Lancaster	Pennsylvania	33	12	0	0	0%
York	Pennsylvania	30	9	0	0	0%
Westmoreland	Pennsylvania	30	6	0	0	0%
Butler	Pennsylvania	26	7	1	0	3.8%
Pike	Pennsylvania	23	8	0	0	0%
Dauphin	Pennsylvania	18	5	0	0	0%
Cumberland	Pennsylvania	16	1	0	0	0%
Washington	Pennsylvania	14	2	0	0	0%
Beaver	Pennsylvania	14	1	0	0	0%
Schuylkill	Pennsylvania	13	4	0	0	0%
Lebanon	Pennsylvania	12	8	0	0	0%
Centre	Pennsylvania	11	2	0	0	0%
Fayette	Pennsylvania	9	1	0	0	0%
Adams	Pennsylvania	8	1	0	0	0%
Erie	Pennsylvania	7	2	0	0	0%
Wayne	Pennsylvania	6	0	0	0	0%
Franklin	Pennsylvania	5	0	0	0	0%
Montour	Pennsylvania	4	0	0	0	0%
Mercer	Pennsylvania	4	1	0	0	0%
Greene	Pennsylvania	4	1	0	0	0%
Lawrence	Pennsylvania	4	3	0	0	0%
Columbia	Pennsylvania	3	0	0	0	0%
Bradford	Pennsylvania	2	0	0	0	0%
​Carbon	Pennsylvania	2	0	0	0	0%
​Clearfield	Pennsylvania	2	0	0	0	0%
​Somerset	Pennsylvania	2	0	0	0	0%
Lycoming	Pennsylvania	2	1	0	0	0%
Indiana	Pennsylvania	2	1	0	0	0%
Potter	Pennsylvania	1	0	0	0	0%
Cambria	Pennsylvania	1	0	0	0	0%
​Armstrong	Pennsylvania	1	0	0	0	0%
​Juniata	Pennsylvania	1	0	0	0	0%
Warren	Pennsylvania	1	0	0	0	0%
Blair	Pennsylvania	1	0	0	0	0%
Crawford	Pennsylvania	1	0	0	0	0%
Susquehanna	Pennsylvania	1	0	0	0	0%
Union	Pennsylvania	1	1	0	0	0%
Fulton	Georgia	307	76	2	0	0.7%
Unassigned	Georgia	217	39	42	2	19.4%
Dougherty	Georgia	193	29	12	6	6.2%
DeKalb	Georgia	181	44	0	0	0%
Cobb	Georgia	144	25	2	0	1.4%
Gwinnett	Georgia	102	23	1	0	1%
Bartow	Georgia	98	5	1	0	1%
Carroll	Georgia	55	3	0	0	0%
Cherokee	Georgia	46	2	0	0	0%
Clayton	Georgia	46	9	0	0	0%
Henry	Georgia	40	11	0	0	0%
Lee	Georgia	35	6	0	0	0%
Clarke	Georgia	32	3	1	0	3.1%
Douglas	Georgia	27	9	0	0	0%
Hall	Georgia	24	2	0	0	0%
Floyd	Georgia	20	3	1	0	5%
Fayette	Georgia	19	5	1	0	5.3%
Coweta	Georgia	19	5	0	0	0%
Forsyth	Georgia	19	4	0	0	0%
Lowndes	Georgia	16	2	0	0	0%
Rockdale	Georgia	16	3	0	0	0%
Newton	Georgia	15	3	0	0	0%
Mitchell	Georgia	14	4	0	0	0%
Gordon	Georgia	12	3	0	0	0%
Paulding	Georgia	12	5	0	0	0%
Troup	Georgia	11	1	0	0	0%
Richmond	Georgia	11	0	0	0	0%
Tift	Georgia	11	4	0	0	0%
Spalding	Georgia	11	0	0	0	0%
Polk	Georgia	10	0	0	0	0%
Columbia	Georgia	10	0	0	0	0%
Chatham	Georgia	10	1	0	0	0%
Oconee	Georgia	10	3	0	0	0%
Early	Georgia	10	3	1	0	10%
Bibb	Georgia	10	2	0	0	0%
Sumter	Georgia	10	3	0	0	0%
Houston	Georgia	9	0	0	0	0%
Muscogee	Georgia	8	2	0	0	0%
Laurens	Georgia	7	0	0	0	0%
Worth	Georgia	7	1	0	0	0%
Whitfield	Georgia	6	0	0	0	0%
Barrow	Georgia	6	1	0	0	0%
Glynn	Georgia	6	0	0	0	0%
Peach	Georgia	6	1	0	0	0%
Terrell	Georgia	6	1	0	0	0%
Effingham	Georgia	4	1	0	0	0%
Pickens	Georgia	4	0	0	0	0%
Lumpkin	Georgia	4	0	0	0	0%
Colquitt	Georgia	4	0	0	0	0%
Bryan	Georgia	4	1	0	0	0%
Crisp	Georgia	4	0	0	0	0%
Lamar	Georgia	3	0	0	0	0%
Monroe	Georgia	3	0	0	0	0%
Randolph	Georgia	3	1	0	0	0%
Lincoln	Georgia	3	0	0	0	0%
Butts	Georgia	3	0	0	0	0%
Coffee	Georgia	3	1	0	0	0%
Madison	Georgia	3	0	0	0	0%
Burke	Georgia	3	0	0	0	0%
Irwin	Georgia	3	0	0	0	0%
Meriwether	Georgia	3	0	0	0	0%
Thomas	Georgia	3	2	0	0	0%
Turner	Georgia	2	0	0	0	0%
Miller	Georgia	2	0	0	0	0%
Dawson	Georgia	2	0	0	0	0%
Baldwin	Georgia	2	0	0	0	0%
Twiggs	Georgia	2	0	0	0	0%
Tattnall	Georgia	2	0	0	0	0%
Washington	Georgia	2	0	0	0	0%
Camden	Georgia	2	0	0	0	0%
Ben Hill	Georgia	2	1	0	0	0%
Jasper	Georgia	2	0	0	0	0%
Seminole	Georgia	2	0	0	0	0%
Fannin	Georgia	2	1	0	0	0%
Decatur	Georgia	2	0	0	0	0%
Jackson	Georgia	2	0	0	0	0%
Jones	Georgia	2	1	0	0	0%
Ware	Georgia	2	0	0	0	0%
Calhoun	Georgia	2	1	0	0	0%
Upson	Georgia	2	2	0	0	0%
Charlton	Georgia	1	0	0	0	0%
Heard	Georgia	1	0	0	0	0%
Clinch	Georgia	1	0	0	0	0%
Chattooga	Georgia	1	0	0	0	0%
Catoosa	Georgia	1	0	0	0	0%
Morgan	Georgia	1	0	0	0	0%
Pierce	Georgia	1	0	0	0	0%
Liberty	Georgia	1	0	0	0	0%
Harris	Georgia	1	0	0	0	0%
Baker	Georgia	1	0	0	0	0%
Greene	Georgia	1	0	0	0	0%
Macon	Georgia	1	0	0	0	0%
Pulaski	Georgia	1	0	0	0	0%
Stephens	Georgia	1	0	0	0	0%
Dodge	Georgia	1	0	0	0	0%
Taylor	Georgia	1	0	0	0	0%
White	Georgia	1	0	0	0	0%
Wilkes	Georgia	1	0	0	0	0%
Long	Georgia	1	0	0	0	0%
Toombs	Georgia	1	0	0	0	0%
Franklin	Georgia	1	0	0	0	0%
Haralson	Georgia	1	0	0	0	0%
Mcduffie	Georgia	1	0	0	0	0%
Habersham	Georgia	1	1	0	0	0%
Dallas	Texas	367	64	7	0	1.9%
Harris	Texas	229	26	2	0	0.9%
Travis	Texas	160	23	1	1	0.6%
Denton	Texas	137	54	1	0	0.7%
Tarrant	Texas	114	14	1	0	0.9%
Bexar	Texas	113	0	5	0	4.4%
Fort Bend	Texas	101	15	1	1	1%
Collin	Texas	87	0	1	0	1.1%
Montgomery	Texas	47	6	0	0	0%
Galveston	Texas	40	0	0	0	0%
Brazoria	Texas	39	0	0	0	0%
Williamson	Texas	34	7	0	0	0%
McLennan	Texas	33	0	0	0	0%
Brazos	Texas	31	3	0	0	0%
Lubbock	Texas	29	6	0	0	0%
El Paso	Texas	28	0	0	0	0%
Smith	Texas	27	6	1	0	3.7%
Bell	Texas	25	5	1	0	4%
Webb	Texas	19	2	0	0	0%
Nueces	Texas	18	0	0	0	0%
Hidalgo	Texas	18	7	0	0	0%
Wichita	Texas	15	5	0	0	0%
Hays	Texas	13	0	0	0	0%
Cameron	Texas	13	3	0	0	0%
Jefferson	Texas	12	5	1	0	8.3%
Matagorda	Texas	10	1	1	0	10%
Ellis	Texas	10	0	0	0	0%
Comal	Texas	9	1	1	0	11.1%
Guadalupe	Texas	8	0	0	0	0%
Hockley	Texas	7	2	0	0	0%
Midland	Texas	7	1	1	0	14.3%
Castro	Texas	7	1	0	0	0%
Johnson	Texas	6	3	0	0	0%
Gregg	Texas	4	0	0	0	0%
Hardin	Texas	4	2	0	0	0%
Kendall	Texas	4	1	0	0	0%
Eastland	Texas	4	2	0	0	0%
Terry	Texas	4	0	0	0	0%
DeWitt	Texas	3	1	0	0	0%
Brown	Texas	3	0	0	0	0%
Randall	Texas	3	1	0	0	0%
Medina	Texas	3	0	0	0	0%
Wharton	Texas	3	0	0	0	0%
Potter	Texas	3	0	0	0	0%
Victoria	Texas	3	0	0	0	0%
Val Verde	Texas	3	1	0	0	0%
Calhoun	Texas	3	1	0	0	0%
Rockwall	Texas	3	1	0	0	0%
Taylor	Texas	3	2	0	0	0%
Washington	Texas	3	0	0	0	0%
Bowie	Texas	2	1	0	0	0%
Rusk	Texas	2	0	0	0	0%
Grimes	Texas	2	0	0	0	0%
Oldham	Texas	2	1	1	0	50%
Milam	Texas	2	0	0	0	0%
Deaf Smith	Texas	2	0	0	0	0%
Chambers	Texas	2	0	0	0	0%
Liberty	Texas	2	1	0	0	0%
Bastrop	Texas	2	0	0	0	0%
Walker	Texas	2	0	0	0	0%
Atascosa	Texas	2	0	0	0	0%
Parker	Texas	2	0	0	0	0%
Grayson	Texas	2	0	0	0	0%
Llano	Texas	2	0	0	0	0%
Tom Green	Texas	2	0	0	0	0%
Kaufman	Texas	2	0	0	0	0%
San Patricio	Texas	2	0	0	0	0%
Angelina	Texas	2	1	0	0	0%
Hood	Texas	2	1	0	0	0%
Starr	Texas	2	1	0	0	0%
Lavaca	Texas	1	0	0	0	0%
Fannin	Texas	1	0	0	0	0%
Van Zandt	Texas	1	0	0	0	0%
Crane	Texas	1	0	0	0	0%
Lamar	Texas	1	0	0	0	0%
Fayette	Texas	1	0	0	0	0%
Maverick	Texas	1	0	0	0	0%
Burnet	Texas	1	0	0	0	0%
Orange	Texas	1	0	0	0	0%
Gaines	Texas	1	0	0	0	0%
Erath	Texas	1	0	0	0	0%
Blanco	Texas	1	0	0	0	0%
Falls	Texas	1	0	0	0	0%
Robertson	Texas	1	0	0	0	0%
Wilson	Texas	1	0	0	0	0%
Hunt	Texas	1	0	0	0	0%
Hopkins	Texas	1	0	0	0	0%
Hale	Texas	1	0	0	0	0%
Cass	Texas	1	0	0	0	0%
Coryell	Texas	1	0	0	0	0%
Limestone	Texas	1	0	0	0	0%
Morris	Texas	1	0	0	0	0%
Young	Texas	1	0	0	0	0%
Reeves	Texas	1	0	0	0	0%
Nacogdoches	Texas	1	0	0	0	0%
Austin	Texas	1	0	0	0	0%
Uvalde	Texas	1	0	0	0	0%
Swisher	Texas	1	0	0	0	0%
Shelby	Texas	1	0	0	0	0%
Karnes	Texas	1	0	0	0	0%
Martin	Texas	1	0	0	0	0%
Harrison	Texas	1	0	0	0	0%
Dawson	Texas	1	0	0	0	0%
Cherokee	Texas	1	0	0	0	0%
Jackson	Texas	1	1	0	0	0%
Montague	Texas	1	1	0	0	0%
Navarro	Texas	1	1	0	0	0%
Willacy	Texas	1	1	0	0	0%
Yoakum	Texas	1	1	0	0	0%
Lamb	Texas	1	1	0	0	0%
Ector	Texas	1	1	0	0	0%
Denver	Colorado 	312	50	3	0	1%
Eagle	Colorado 	170	23	1	0	0.6%
El Paso	Colorado 	160	23	7	1	4.4%
Jefferson	Colorado 	158	27	5	2	3.2%
Arapahoe	Colorado 	155	36	1	0	0.6%
Unassigned	Colorado 	136	34	1	0	0.7%
Weld	Colorado 	129	22	6	1	4.7%
Douglas	Colorado 	79	12	0	0	0%
Boulder	Colorado 	76	10	1	0	1.3%
Adams	Colorado 	71	21	0	0	0%
Larimer	Colorado 	67	6	1	0	1.5%
